"Ticker","Nome","Negócios","Última (R$)","Variação"
"COGN3","Cogna","100.987.800","2,97","+2,77%"
"ENEV3","Eneva","100.144.900","13,97","-1,96%"
"AZUL4","Azul","93.543.000","0,90","-6,25%"
"B3SA3","B3","82.246.300","13,95","-1,06%"
"HAPV3","Hapvida","59.042.700","2,86","+0,35%"
"BBDC4","Banco Bradesco","55.543.700","16,20","+0,75%"
"BBAS3","Banco do Brasil","53.293.100","23,42","-1,18%"
"ITSA4","Itaúsa","49.109.700","11,05","-0,18%"
"RADL3","RaiaDrogasil","47.311.900","14,85","+0,07%"
"PETR4","Petrobras","45.127.700","30,90","-1,09%"
"RAIZ4","Raízen","42.040.900","1,94","-2,51%"
"ABEV3","Ambev","38.207.300","14,03","-0,21%"
"GOLL4","GOL","35.267.600","1,47","+13,08%"
"ITUB4","Itaú Unibanco","31.193.800","37,41","-0,16%"
"CPLE6","Copel","30.024.000","12,67","-0,86%"
"VALE3","Vale","28.286.100","52,10","-2,53%"
"MGLU3","Magazine Luiza","27.780.200","9,22","+1,54%"
"UGPA3","Ultrapar","26.273.300","16,29","-2,92%"
"CMIG4","Cemig","24.921.000","10,84","-0,64%"
"PRIO3","PetroRio","22.845.000","38,95","-2,62%"
"CSNA3","Siderúrgica Nacional","22.043.800","8,25","-3,85%"
"CSAN3","Cosan","21.984.800","8,23","-2,02%"
"BBDC3","Banco Bradesco","18.444.600","13,98","+0,58%"
"RAIL3","Rumo","17.389.900","18,82","-1,88%"
"GGBR4","Gerdau","17.175.500","15,25","-3,17%"
"NTCO3","Natura","16.912.200","10,47","-0,29%"
"VIVT3","Vivo","16.649.400","28,66","+2,14%"
"PETR3","Petrobras","15.545.300","32,91","-1,32%"
"GOAU4","Metalúrgica Gerdau","15.167.400","8,36","-4,35%"
"VBBR3","Vibra Energia","14.532.800","20,18","-2,46%"
"CRFB3","Carrefour Brasil","14.427.600","8,48","+0,36%"
"JBSS3","JBS","14.173.400","40,12","-1,40%"
"VAMO3","Grupo Vamos","13.735.700","4,97","+4,63%"
"WEGE3","WEG","13.668.500","42,35","-3,79%"
"TOTS3","Totvs","13.612.500","42,21","-1,38%"
"BEEF3","Minerva","13.383.900","5,04","+0,40%"
"RENT3","Localiza","13.338.300","42,96","-1,10%"
"MOTV3","Motiva","13.034.600","13,48","-1,46%"
"BPAC11","Banco BTG Pactual","12.966.500","39,55","-2,61%"
"CBAV3","CBA","12.707.500","4,70","-0,21%"
"SRNA3","Serena Energia","12.706.000","11,46","-0,43%"
"LREN3","Lojas Renner","11.391.300","18,16","+1,11%"
"PETZ3","Petz","10.976.800","4,32","+0,47%"
"POMO4","Marcopolo","10.928.200","7,25","+0,28%"
"ASAI3","Assaí","10.759.400","11,22","-0,36%"
"SUZB3","Suzano","10.637.600","49,65","-1,84%"
"EQTL3","Equatorial Energia","10.521.400","36,65","-1,08%"
"USIM5","Usiminas","10.199.100","5,20","-0,57%"
"CVCB3","CVC","9.787.000","2,37","+0,00%"
"TIMS3","TIM","9.627.800","19,49","-0,20%"
"CMIN3","CSN Mineração","9.314.800","5,05","-1,56%"
"ELET3","Eletrobras","8.584.100","41,96","-0,17%"
"ANIM3","Ânima Educação","8.054.000","4,25","+4,68%"
"IFCM3","Infracommerce","7.521.100","0,07","+0,00%"
"CASH3","Méliuz","7.353.900","8,02","-9,07%"
"MRVE3","MRV","7.320.800","5,29","+0,00%"
"AURE3","Auren Energia","7.198.200","9,88","-0,20%"
"KLBN11","Klabin","6.981.700","18,31","-4,29%"
"CXSE3","Caixa Seguridade","6.954.300","15,07","+0,47%"
"BBSE3","BB Seguridade","6.766.500","37,51","-1,11%"
"ECOR3","EcoRodovias","6.539.000","6,75","-1,17%"
"BRAV3","3R Petroleum","6.479.700","18,90","-2,78%"
"RAPT4","Randon","5.782.900","9,07","+5,34%"
"LWSA3","Locaweb","5.734.100","3,76","+1,35%"
